"FirstAuthor","YearOfPublication","StudyName","Design","DesignGroup","Exposure","SpecificFood","FoodSubgroup","SpecificExposureGroup","MotherChildExposure","IfExposureIsCategorialReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureSizeGroup","ExposureCategories","ToReverseReferenceGroup","OutcomeGroup","SpecificOutcome","OutcomeSubgroup","AgeAtOutcome","AgeAtOutcomeGroup","DiseaseRisk","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotenialConflictOfInterest","Col","Ncases","NumberExposedinCases","NumberNonExposedinCases","NumberExposedinControls","NumberNonExposedinControls","TotalNumberParticpantsWithOutcomesAndExposureDataInExposedGroup","NumberParticipantsWithTheOutcomeInExposed","TotalNumberParticpantsWithOutcomeAndExposureDataInNonExposedGroup","NumberParticipantsWithOutcomeInNonExposed","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Ci(Lower)","955CI(Upper)","Pvalue","Other","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","AdJ95%Ci(Lower)","AdJ95%Ci(Upper)","AdjPValue","FinalEffectMeasureAssociation(OrHrMeanDifference(B))","UnadjInOr(RawNmbersOrUnadjOrRrHr)","UnadjSe(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOr","AdjSe(InOr)","FinalInOr","FinalSe(InOr)","BackcalcUnadjOr","BackcalcUnadjLL95%CI","BackcalcAnadjUL95%CI","BackCalcAdjOr","BackcalcAdjLL95%CI","BackcalcAdjUL95%CI","BackcalcFinalOr","BackcalcFinalLL95%Cl","BackcalcFinalUL95%Cl","FinalEm","FUnadjInOr","FUnadjiSe(InOr)","FAdjInOr","FAdjSe(InOr)","FFinalInOr","FFinalSe(InOr)","FBackcalcUnadjOr","FBackcalcUnadjLL95%Cl","FBackcalcUnadjUL95%Cl","FBackcalcAdjOr","FBackcalcAdjLL95%Cl","FBackcalcAdjUL95%Cl","FBackcalcFinalOr","FBackcalcFinalLL95%Cl","FBackcalcFinalUL95%Cl"
"Oien","2009","PACT","prospective cohort","prospective","Fatty acid","fish","any fish","INFANT FISH- FISH OIL INTAKE","infant-1st year-intake","Never","?1x/week","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ.REC","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.81","0.6","1.09","0.16","","","","","","","OR","-0.210721031","0.151478943","","","-0.210721031","0.151478943","0.81","0.601926606","1.09","","","","0.81","0.601926606","1.09","OR","-0.210721031","0.151478943","","","-0.210721031","0.151478943","0.81","0.601926606","1.09","","","","0.81","0.601926606","1.09"
"Zutavern","2004","ZUTAVERN  A","prospective cohort","prospective","fruits","fruits","FRUIT","INFANT FRUIT INTRODUCTION","infant-1st year-intro","<=4",">4","0to4","categ(months)","2=no","atopic","WHZ.REC","","5.5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","181","36.2","442","81.77","","","","","0.68","in the paper they call it prevalence at age 5.5 but based on the definition it is not for AD and transiet wheeze","","","","","","OR","0.096537927","0.222566428","","","0.096537927","0.222566428","1.101351351","0.711989388","1.703641683","","","","1.101351351","0.711989388","1.703641683","OR","0.096537927","0.222566428","","","0.096537927","0.222566428","1.101351351","0.711989388","1.703641683","","","","1.101351351","0.711989388","1.703641683"
"Strassburger","2010","Strassburger  Sao Leopoldo Brazil","prospective cohort","prospective","time of introduction of fruit - FRUIT JUICE","fruit juice","FRUIT JUICE-SYRUP","INFANT FRUIT INTRODUCTION","infant-1st year-intro",">=4","<4","0to4","categ(months)","1=yes","atopic","WHZ.REC","","3.5","0to4","low-normal","Low","Low","Low","Low","","","","","","53","4","285","15","OR","1.46","0.46","4.61","0.507","","","","","","","OR","0.378436436","0.586628276","","","0.378436436","0.586628276","1.46","0.462386117","4.61","","","","1.46","0.462386117","4.61","OR","-0.378436436","0.586628276","","","-0.378436436","0.586628276","0.684931507","0.21691974","2.162694689","","","","0.684931507","0.21691974","2.162694689"
"Strassburger","2010","Strassburger  Sao Leopoldo Brazil","prospective cohort","prospective","TIME OF INTRODUCTION OF SALTY PUREED FOOD","salty pureed food","SALTY PUREED FOOD","INFANT VEGETABLE INTRODUCTION","infant-1st year-intro",">=4","<4","0to4","categ(months)","1=yes","atopic","WHZ.REC","","3.5","0to4","low-normal","Low","Low","Low","Low","","","","","","32","4","299","15","OR","2.7","0.84","8.7","0.084","","OR","2.24","0.62","8.1","0.216","OR","0.993251773","0.596975129","0.806475866","0.655810304","0.806475866","0.655810304","2.7","0.837931034","8.7","2.24","0.61945679","8.1","2.24","0.61945679","8.1","OR","-0.993251773","0.596975129","-0.806475866","0.655810304","-0.806475866","0.655810304","0.37037037","0.114942529","1.193415638","0.446428571","0.12345679","1.614317602","0.446428571","0.12345679","1.614317602"
"Zutavern","2004","ZUTAVERN  A","prospective cohort","prospective","vegetables","vegetables","VEGETABLES","INFANT VEGETABLE INTRODUCTION","infant-1st year-intro","<=4",">4","0to4","categ(months)","2=no","atopic","WHZ.REC","","5.5","5to14","low-normal","Low","Low","Low","Low","","","","","","174","36.018","449","82.167","","","","","0.5","in the paper they call it prevalence at age 5.5 but based on the definition it is not for AD and transiet wheeze","OR","1.2","0.7","2","","OR","0.153048514","0.223400067","0.182321557","0.260625318","0.182321557","0.260625318","1.165381514","0.752152925","1.805635569","1.2","0.72","2","1.2","0.72","2","OR","0.153048514","0.223400067","0.182321557","0.260625318","0.182321557","0.260625318","1.165381514","0.752152925","1.805635569","1.2","0.72","2","1.2","0.72","2"
"Dela Bianca","2012","Dela Bianca","CROSS SECTIONAL","retrospective","SPECIFIC FOOd intake -CHILD","PROCESSED FOOD","","INFANT INDUSTRIAL-PROCESSED FOOD INTAKE","infant-1st year-intake","NO","YES","oftenVSnever-rare","yes-no","2=no","atopic","WHZ.REC","","1","0to4","low-normal","Unclear","Unclear-high","Low","Low","467","","","","","","","","","OR","1.68","1.1","2.5","","","OR","","","","","OR","0.518793793","0.20280456","","","0.518793793","0.20280456","1.68","1.12896","2.5","","","","1.68","1.12896","2.5","OR","0.518793793","0.20280456","","","0.518793793","0.20280456","1.68","1.12896","2.5","","","","1.68","1.12896","2.5"
"Whu","2007","Whu  R.  BRONX  NY","CASE CONTROL","retrospective","SPECIFIC FOOD INTAKE - CHILD","industrial food","","INFANT INDUSTRIAL-PROCESSED FOOD INTAKE","infant-1st year-intake","yes junk food intake <1yr","no junk food intake <1yr","oftenVSnever-rare","yes-no","1=yes","atopic","WHZ.REC","","4","0to4","low-normal","High","Unclear-high","Low","Low","101","83","18","79","81","","","","","","","","","","","","","","","","OR","1.553470152","0.304315059","","","1.553470152","0.304315059","4.727848101","2.603906028","8.584237459","","","","4.727848101","2.603906028","8.584237459","OR","-1.553470152","0.304315059","","","-1.553470152","0.304315059","0.211512718","0.116492584","0.384038437","","","","0.211512718","0.116492584","0.384038437"
"Zutavern","2004","ZUTAVERN  A","prospective cohort","prospective","meat","meat","","INFANT MEAT INTRODUCTION","infant-1st year-intro","<=5",">5","5to7","categ(months)","2=no","atopic","WHZ.REC","","5.5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","256","47.616","365","70.445","","","","","0.83","in the paper they call it prevalence at age 5.5 but based on the definition it is not for AD and transiet wheeze","","","","","","OR","-0.045580213","0.208304105","","","-0.045580213","0.208304105","0.955442961","0.635174027","1.437198646","","","","0.955442961","0.635174027","1.437198646","OR","-0.045580213","0.208304105","","","-0.045580213","0.208304105","0.955442961","0.635174027","1.437198646","","","","0.955442961","0.635174027","1.437198646"
"Oien","2009","PACT","prospective cohort","prospective","Fatty acid","vegetables","VEGETABLES","INFANT VEGETABLE INTAKE","infant-1st year-intake","?1x/week","Almost daily","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ.REC","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.96","0.67","1.38","","","","","","","","OR","-0.040821995","0.185155864","","","-0.040821995","0.185155864","0.96","0.667826087","1.38","","","","0.96","0.667826087","1.38","OR","-0.040821995","0.185155864","","","-0.040821995","0.185155864","0.96","0.667826087","1.38","","","","0.96","0.667826087","1.38"
"Oliveti","1995","Oliveti  J. F. ","case control","retrospective","SPECIFIC FOOd intake -MOTHER","alcohol","","MATERNAL ALCOHOL INTAKE","mother-pregnancy-intake","no","yes","oftenVSnever-rare","yes-no","2=no","atopic","WHZ.REC","","04-Sep","5to14","low-normal","Unclear","Unclear-high","Low","Low","131","15.589","115.411","7.336","123.664","","","","","OR","","","","","","OR","","","","","OR","0.822840343","0.46606113","","","0.822840343","0.46606113","2.276958002","0.913346938","5.676416627","","","","2.276958002","0.913346938","5.676416627","OR","0.822840343","0.46606113","","","0.822840343","0.46606113","2.276958002","0.913346938","5.676416627","","","","2.276958002","0.913346938","5.676416627"
"Erkkola","2012","DIPP ","prospective cohort","prospective","cereals","cereal","OTHER- UNCLEAR","MATERNAL CEREAL INTAKE","mother-pregnancy-intake","155.0-246.2","246.2-772.9","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ.REC","","5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","HR","0.91","0.59","1.39","","","HR","0.86","0.52","1.42","","HR","-0.094310679","0.216129809","-0.15082289","0.255857021","-0.15082289","0.255857021","0.91","0.595755396","1.39","0.86","0.52084507","1.42","0.86","0.52084507","1.42","HR","-0.094310679","0.216129809","-0.15082289","0.255857021","-0.15082289","0.255857021","0.91","0.595755396","1.39","0.86","0.52084507","1.42","0.86","0.52084507","1.42"
"Erkkola","2012","DIPP ","prospective cohort","prospective","chocolate","chocolate","CONFECTIONERY","MATERNAL CONFECTIONERY- SWEET DRINK INTAKE","mother-pregnancy-intake","7.14-26.7","26.7-250.4","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ.REC","","5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","HR","0.99","0.6","1.65","","","HR","1.09","0.66","1.81","","HR","-0.010050336","0.260625318","0.086177696","0.258749566","0.086177696","0.258749566","0.99","0.594","1.65","1.09","0.65640884","1.81","1.09","0.65640884","1.81","HR","-0.010050336","0.260625318","0.086177696","0.258749566","0.086177696","0.258749566","0.99","0.594","1.65","1.09","0.65640884","1.81","1.09","0.65640884","1.81"
"Maslova","2013","DANISH BIRTH COHORT ","prospective cohort","prospective","artificially-swetened non-corbonated soft drinks consumption during pregnancy","artificially-swetened non-corbonated soft drinks","SWEET DRINK","MATERNAL CONFECTIONERY- SWEET DRINK INTAKE","mother-pregnancy-intake","0",">= 1 /DAY","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ.REC","","1.5","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.38","1.28","1.48","","","OR","1.23","1.13","1.33","","OR","0.322083499","0.035693157","0.207014169","0.039879986","0.207014169","0.039879986","1.38","1.286756757","1.48","1.23","1.137518797","1.33","1.23","1.137518797","1.33","OR","0.322083499","0.035693157","0.207014169","0.039879986","0.207014169","0.039879986","1.38","1.286756757","1.48","1.23","1.137518797","1.33","1.23","1.137518797","1.33"
"Maslova","2013","DANISH BIRTH COHORT ","prospective cohort","prospective","artificially-swetened non-corbonated soft drinks consumption during pregnancy","artificially-swetened non-corbonated soft drinks","SWEET DRINK","MATERNAL CONFECTIONERY- SWEET DRINK INTAKE","mother-pregnancy-intake","0",">= 1 /DAY","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ.REC","","7","5to14","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.22","1.08","1.38","","","OR","1.14","0.98","1.34","","OR","0.198850859","0.062873796","0.131028262","0.082470077","0.131028262","0.082470077","1.22","1.078550725","1.38","1.14","0.969850746","1.34","1.14","0.969850746","1.34","OR","0.198850859","0.062873796","0.131028262","0.082470077","0.131028262","0.082470077","1.22","1.078550725","1.38","1.14","0.969850746","1.34","1.14","0.969850746","1.34"
"Lumia","2011","DIPP","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - MATERNAL","dairy","ALL DAIRY","MATERNAL DAIRY INTAKE","mother-pregnancy-intake","mid-half of intake","highest quartile of intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ.REC","","5","5to14","low-normal","Low","Low","Low","Low","","","","","","","","","","HR","0.7","0.45","1.09","0.069","","HR","0.73","0.44","1.21","0.282","HR","-0.356674944","0.225945225","-0.314710745","0.257821992","-0.314710745","0.257821992","0.7","0.449541284","1.09","0.73","0.440413223","1.21","0.73","0.440413223","1.21","HR","-0.356674944","0.225945225","-0.314710745","0.257821992","-0.314710745","0.257821992","0.7","0.449541284","1.09","0.73","0.440413223","1.21","0.73","0.440413223","1.21"
"Willers","2008","PIAMA","prospectvie cohort","prospective","Cow's milk consumption during pregnancy","milk","MILK","MATERNAL DAIRY INTAKE","mother-pregnancy-intake","Less than once a day","Daily consumption during pregnancy","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ.REC","","8","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","OR","0.89","0.72","1.1","","","OR","0.92","0.74","1.15","","OR","-0.116533816","0.108083671","-0.083381609","0.113848751","-0.083381609","0.113848751","0.89","0.720090909","1.1","0.92","0.736","1.15","0.92","0.736","1.15","OR","-0.116533816","0.108083671","-0.083381609","0.113848751","-0.083381609","0.113848751","0.89","0.720090909","1.1","0.92","0.736","1.15","0.92","0.736","1.15"
"Willers","2008","PIAMA","prospectvie cohort","prospective","Egg consumption during pregnancy","egg","EGG","MATERNAL EGG INTAKE","mother-pregnancy-intake","Rarely if ever consumed during pregnancy","Daily or regular intake during pregnancy","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ.REC","","8","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","OR","1.02","0.87","1.19","","","OR","1.03","0.88","1.2","","OR","0.019802627","0.078648306","0.029558802","0.077940181","0.029558802","0.077940181","1.02","0.874285714","1.19","1.03","0.884083333","1.2","1.03","0.884083333","1.2","OR","0.019802627","0.078648306","0.029558802","0.077940181","0.029558802","0.077940181","1.02","0.874285714","1.19","1.03","0.884083333","1.2","1.03","0.884083333","1.2"
"Lumia","2011","DIPP","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - MATERNAL","margarine","MARGARINE","MATERNAL FAT INTAKE","mother-pregnancy-intake","No Margarine during pregnancy","Margarine user during pregnancy","oftenVSnever-rare","yes-no","2=no","atopic","WHZ.REC","","5","5to14","low-normal","Low","Low","Low","Low","","","","","","","","","","HR","0.76","0.55","1.04","0.084","","HR","0.82","0.58","1.17","0.274","HR","-0.274436846","0.160029367","-0.198450939","0.181354432","-0.198450939","0.181354432","0.76","0.555384615","1.04","0.82","0.574700855","1.17","0.82","0.574700855","1.17","HR","-0.274436846","0.160029367","-0.198450939","0.181354432","-0.198450939","0.181354432","0.76","0.555384615","1.04","0.82","0.574700855","1.17","0.82","0.574700855","1.17"
"Fitzsimon","2007","LIFE-WAYS COHORT","prospective cohort","prospective","ADDED -SPREADED FAT","fat from spreads","OTHER- UNCLEAR","MATERNAL FAT INTAKE","mother-pregnancy-intake","Q1","Q4","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ.REC","","3","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.5","0.81","2.8","","","OR","0.68","0.29","1.6","","OR","0.405465108","0.318446076","-0.385662481","0.436564342","-0.385662481","0.436564342","1.5","0.803571429","2.8","0.68","0.289","1.6","0.68","0.289","1.6","OR","0.405465108","0.318446076","-0.385662481","0.436564342","-0.385662481","0.436564342","1.5","0.803571429","2.8","0.68","0.289","1.6","0.68","0.289","1.6"
"Oien","2009","PACT","prospective cohort","prospective","Fatty acid","cod liver oil","COD LIVER OIL","MATERNAL FISH OIL SUPPLEMENT","mother-pregnancy-suppl","Never","?4","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ.REC","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.97","0.69","1.37","0.85","","","","","","","OR","-0.030459207","0.176158136","","","-0.030459207","0.176158136","0.97","0.686788321","1.37","","","","0.97","0.686788321","1.37","OR","-0.030459207","0.176158136","","","-0.030459207","0.176158136","0.97","0.686788321","1.37","","","","0.97","0.686788321","1.37"
"Salam","2005","Children's Health Study","case control","retrospective","SPECIFIC FOOD INTAKE - MATERNAL","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","never","At least Monthly ie 0.25 times per week","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ.REC","","Sep-16","5to14","low-normal","Unclear","Unclear-high","Low","Low","279","","","","","","","","","","","","","","","OR","0.8","0.47","1.36","","OR","","","-0.223143551","0.2707287","-0.223143551","0.2707287","","","","0.8","0.470588235","1.36","0.8","0.470588235","1.36","OR","","","-0.223143551","0.2707287","-0.223143551","0.2707287","","","","0.8","0.470588235","1.36","0.8","0.470588235","1.36"
"Chatzi","2008","Menorca birth cohort","prospective cohort","prospective","Fish","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","<=2.5","<=2.5","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ.REC","","6.5","5to14","low-normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","OR","0.34","0.13","0.84","","OR","","","-1.078809661","0.461457283","-1.078809661","0.461457283","","","","0.34","0.137619048","0.84","0.34","0.137619048","0.84","OR","","","-1.078809661","0.461457283","-1.078809661","0.461457283","","","","0.34","0.137619048","0.84","0.34","0.137619048","0.84"
"Oien","2009","PACT","prospective cohort","prospective","Fatty acid","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","Never","?1x/week","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ.REC","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.99","0.72","1.37","0.96","","","","","","","OR","-0.010050336","0.165745447","","","-0.010050336","0.165745447","0.99","0.71540146","1.37","","","","0.99","0.71540146","1.37","OR","-0.010050336","0.165745447","","","-0.010050336","0.165745447","0.99","0.71540146","1.37","","","","0.99","0.71540146","1.37"
"Willers","2008","PIAMA","prospectvie cohort","prospective","Fish consumption during pregnancy","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","Rarely if ever consumed during pregnancy","Daily or regular intake during pregnancy","oftenVSnever-rare","freq(times/week)","2=no","atopic","WHZ.REC","","8","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","OR","1.03","0.88","1.23","","","OR","1.01","0.85","1.2","","OR","0.029558802","0.090538453","0.009950331","0.087944503","0.009950331","0.087944503","1.03","0.862520325","1.23","1.01","0.850083333","1.2","1.01","0.850083333","1.2","OR","0.029558802","0.090538453","0.009950331","0.087944503","0.009950331","0.087944503","1.03","0.862520325","1.23","1.01","0.850083333","1.2","1.01","0.850083333","1.2"
"Lumia","2011","DIPP","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - MATERNAL","fat - n3","OMEGA 3- PUFA","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","mid-half of intake","highest quartile of intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ.REC","","5","5to14","low-normal","Low","Low","Low","Low","","","","","","","","","","HR","1.19","0.81","1.77","0.018","","HR","1.09","0.7","1.7","0.036","HR","0.173953307","0.202564408","0.086177696","0.226760487","0.086177696","0.226760487","1.19","0.800056497","1.77","1.09","0.698882353","1.7","1.09","0.698882353","1.7","HR","0.173953307","0.202564408","0.086177696","0.226760487","0.086177696","0.226760487","1.19","0.800056497","1.77","1.09","0.698882353","1.7","1.09","0.698882353","1.7"
